Table with column headers in row 3,,,,,,
"2021 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2022",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,06780,Quartzsite Elementary District,"3,758",130,44
AZ,04,06810,Queen Creek Unified District,"67,010","15,241",753
AZ,04,06850,Ray Unified District,"3,096",539,113
AZ,04,06870,Red Mesa Unified District,"7,153","1,440",506
AZ,04,06900,Red Rock Elementary District,"3,948",581,58
AZ,04,06930,Redington Elementary District,85,19,4
AZ,04,07020,Riverside Elementary District,"7,762","1,370",282
AZ,04,07080,Roosevelt Elementary District,"121,641","17,425","3,972"
AZ,04,07130,Round Valley Unified District,"7,398","1,449",295
AZ,04,07200,Sacaton Elementary District,"8,374","1,380",290
AZ,04,07170,Saddle Mountain Unified School District,"14,574","3,255",423
AZ,04,07240,Safford Unified District,"17,514","3,281",770
AZ,04,07300,Sahuarita Unified District,"31,730","6,811",812
AZ,04,00005,Salome Consolidated Elementary District,"2,014",78,24
AZ,04,06960,San Carlos Unified District,"8,187","2,131",654
AZ,04,07380,San Fernando Elementary District,51,6,5
AZ,04,07430,San Simon Unified District,672,75,23
AZ,04,06740,Sanders Unified District,"5,174",982,320
AZ,04,07500,Santa Cruz Elementary District,"1,744",371,71
AZ,04,07520,Santa Cruz Valley Unified District,"21,902","4,367",903
AZ,04,07530,Santa Cruz Valley Union High School District,"17,079",637,110
AZ,04,07570,Scottsdale Unified District,"241,115","29,888","2,052"
AZ,04,09733,Sedona-Oak Creek Joint Unified District,"17,755","1,015",184
AZ,04,07630,Seligman Unified District,"1,350",123,41
AZ,04,07680,Sentinel Elementary District,121,24,7
AZ,04,07700,Show Low Unified District,"17,700","2,837",738
AZ,04,01460,Sierra Vista Unified District,"49,236","7,699","1,456"
AZ,04,07770,Skull Valley Elementary District,526,59,16
AZ,04,07820,Snowflake Unified District,"13,094","2,975",669
AZ,04,07860,Solomon Elementary District,"2,733",358,91
AZ,04,07890,Somerton Elementary District,"28,394","3,859","1,115"
AZ,04,07920,Sonoita Elementary District,"1,791",111,18
AZ,04,08020,St. David Unified District,"3,720",562,117
AZ,04,08080,St. Johns Unified District,"4,073",900,197
AZ,04,08130,Stanfield Elementary District,"4,402",532,96
AZ,04,08170,Sunnyside Unified District,"89,394","17,729","5,154"
AZ,04,08230,Superior Unified School District,"3,104",417,84
AZ,04,08280,Tanque Verde Unified District,"11,458","1,692",115
AZ,04,08310,Tempe School District,"162,866","12,623","2,624"
AZ,04,08340,Tempe Union High School District,"325,646","14,835","1,579"
AZ,04,08410,Thatcher Unified District,"8,334","1,740",343
AZ,04,08490,Tolleson Elementary District,"17,331","2,794",620
AZ,04,08520,Tolleson Union High School District,"203,103","13,504","1,914"
AZ,04,08550,Toltec Elementary District,"15,485","1,594",392
AZ,04,08600,Tombstone Unified District,"7,162",866,302
AZ,04,05760,Tonto Basin Elementary District,"1,636",105,39
AZ,04,08640,Topock Elementary District,"2,440",140,59
AZ,04,08680,Tuba City Unified District,"15,060","3,193",952
AZ,04,08800,Tucson Unified District,"485,276","68,796","15,583"
AZ,04,08820,Union Elementary District,"18,995","3,421",550
AZ,04,08850,Vail Unified District,"69,156","14,580",953
AZ,04,08880,Valentine Elementary District,218,31,7
AZ,04,08910,Valley Union High School District,"3,403",150,35
AZ,04,00022,Vernon Elementary District,"2,101",208,68
AZ,04,09030,Walnut Grove Elementary District,174,6,1
AZ,04,09060,Washington Elementary District,"251,735","29,643","6,362"
AZ,04,09090,Wellton Elementary District,"3,146",233,60
AZ,04,09120,Wenden Elementary District,489,49,24
AZ,04,09160,Whiteriver Unified District,"13,992","3,455","1,284"
AZ,04,09190,Wickenburg Unified District,"16,664","1,480",213
AZ,04,09250,Willcox Unified District,"7,228","1,285",296
AZ,04,09310,Williams Unified District,"6,146",914,214
AZ,04,09360,Williamson Valley Elementary School District,733,60,16
AZ,04,09390,Wilson Elementary District,"4,586",579,204
AZ,04,09430,Window Rock Unified District,"10,710","2,198",693
AZ,04,09460,Winslow Unified District,"11,091","2,125",675
AZ,04,09510,Yarnell Elementary District,"1,139",78,26
AZ,04,09540,Young Elementary School District,858,81,22
AZ,04,09570,Yucca Elementary District,736,71,45
AZ,04,09600,Yuma Elementary District,"102,345","10,630","2,750"
AZ,04,09630,Yuma Union High School District,"202,470","12,059","2,523"
AR,05,02250,Alma School District,"15,672","3,035",574
AR,05,02280,Alpena School District,"2,812",512,113
AR,05,02430,Arkadelphia School District,"15,357","2,019",415
AR,05,02550,Armorel School District,"1,446",300,32
AR,05,02580,Ashdown School District,"8,812","1,427",326
AR,05,02610,Atkins Public Schools,"6,538","1,171",280
AR,05,02670,Augusta School District,"2,947",429,161
AR,05,02700,Bald Knob School District,"6,707","1,187",262
AR,05,02730,Barton-Lexa School District,"2,392",424,124
AR,05,00019,Batesville School District,"20,513","3,609",727
AR,05,02790,Bauxite School District,"7,005","1,326",135
AR,05,02820,Bay School District,"3,038",574,119
AR,05,00032,Bearden School District,"2,893",524,129
AR,05,02880,Beebe School District,"18,569","3,527",598
AR,05,02960,Benton School District,"32,484","5,964",671
AR,05,03060,Bentonville Public Schools,"114,236","22,489","1,264"
AR,05,03090,Bergman School District,"5,142",988,140
AR,05,03150,Berryville Public Schools,"11,077","2,081",468
AR,05,03240,Bismarck Public Schools,"6,455","1,061",250
AR,05,03300,Blevins School District,"3,194",545,152
AR,05,03320,Blytheville School District,"14,216","2,707",971
AR,05,03450,Booneville School District,"7,458","1,219",295
AR,05,03480,Bradford School District,"2,671",489,105
AR,05,03630,Brinkley School District,"3,635",590,217
AR,05,03640,Brookland School District,"12,865","2,664",320
AR,05,03690,Bryant Public Schools,"56,974","10,725","1,091"
AR,05,03710,Buffalo Island Central School District,"4,627",825,196
AR,05,03750,Cabot Public Schools,"55,763","10,937","1,224"
AR,05,03770,Caddo Hills School District,"3,406",540,162
AR,05,03840,Calico Rock School District,"3,741",374,97
AR,05,06060,Camden Fairview School District,"16,782","2,733",790
AR,05,03960,Carlisle School District,"3,922",641,118
AR,05,04050,Cave City School District,"8,404","1,442",321
AR,05,00070,Cedar Ridge School District,"5,367","1,010",242
AR,05,04080,Cedarville School District,"4,747",799,165
AR,05,06690,Centerpoint School District,"5,161",983,228
AR,05,04200,Charleston School District,"4,906",891,122
AR,05,04350,Clarendon School District,"3,129",482,156
AR,05,04380,Clarksville School District,"14,510","2,669",554
AR,05,00067,Cleveland County School District,"4,633",747,155
AR,05,04410,Clinton School District,"8,244","1,278",296
AR,05,04560,Concord Public Schools,"4,095",646,156
AR,05,04590,Conway Public Schools,"77,462","11,862","1,616"
AR,05,00009,Corning Public Schools,"6,121","1,000",243
AR,05,00405,Cossatot River School District,"4,808",944,234
AR,05,04680,Cotter School District,"4,516",728,142
AR,05,04740,County Line School District,"3,314",571,126
AR,05,07740,Cross County School District,"3,337",545,119
AR,05,04800,Crossett School District,"10,500","1,790",512
